firma,adresse,postcode,city,geometry,phone,Ackerland,Hopfen,Gruenland,Wald,Gemuese,Energie,Obst,Blumen,Gewuerze,Wein
Röttger,Beidendorfer Hauptstraße 19,23560,Lübeck,POINT (53.78634115 10.6759168334791),04508648,,,,,,,,,,
Niedringhaus GbR,Am Denkmal 5,32469,Petershagen,POINT (52.353515200000004 8.852797304358887),057041049,,,,,,,,,,
Thomsen-Detlefs,Vitzdorf 32,32769,Fehmarn,POINT (54.433693950000006 11.241292702144838),043712568,< 500,,,,,,,,,
Landwirtschaftsbetrieb Lange,Bunitzer Weg 6,04838,Doberschütz/Paschwitz,POINT (51.463315300000005 12.716551308303801),03423754828,< 500,,< 50,,,,,,,
Hof Porth,Luttmissen 1,29587,Natendorf,POINT (53.072564 10.42747),05822-1843,,,,,,,,,,
Hessische Staatsdomäne Schafhof,Junker Hoose 11,34613,Schwalmstadt,POINT (50.9052903 9.2327778),06693582,< 500,,< 50,,,,,,,
Jörg Meyer,Ringstraße 4,34513,Waldeck,POINT (51.2972696 9.0348261),05695991687,< 500,,,,,,,,,
Manfred Pemöller,Dorfstraße 22,21502,Wiershop,POINT (53.44199795 10.45291521954343),0415270888,,,,,,,,,,
Hof-Wittern,Papendorfer Straße 1,22946,Brunsbek,POINT (53.5949688 10.2700659),041079407,,,,,,,,,,
Peter Thiesen,Charlottenhof 91,24366,Loose,POINT (54.5321576 9.876907500000002),04358311,,,,,,,,,,
Ralf Seedorf,Hillerser Weg 20,28857,Syke,POINT (52.8959415 8.8535684),04242930717,,,,,,,,,,
Griem-Krey GbR,Höltenteich 3,22965,Todendorf,,04534-8045,,,,,,,,,,
AGG Agrargesellschaft Großbreitenbach mbH,Am Schiefer,07426,Königsee,POINT (50.6587099 11.0991321),,,,,,,,,,,
Agrargenossenschaft Königsee e.G.,Am Schiefer,07426,Königsee-Rottenbach,,03673865460,,,,,,,,,,
Landwirtschaftsbetrieb Daniel Kirsch,Schulgasse 4,04880,Falkenberg,POINT (51.615249 12.770095006481563),,,,,,,,,,,
Hof Henrici,Schubyfeld 13,24398,Dörphof,POINT (54.598047550000004 9.995936015033799),04644218,< 100,,< 100,< 50,,,,,,
Matthias Bunge,Im Winkel 4,29574,Ebstorf,POINT (53.019572 10.3990171),058222411,< 100,,,,< 10,,,,,
Ronald Stegelmann,Segeberger Straße 25,23827,Krems II,POINT (53.9956925 10.3402941),04557999537,,,,,,,,,,
Tarnow Agrar,Kleether Weg 7,17091,Tarnow,POINT (53.6088669 13.0245227),03960229491,< 2000,,< 100,< 100,,,,,,
Nicole und Michael Wiebers GbR,Wiebüschen 8 a,22941,Delingsdorf,POINT (53.7088725 10.2636497),,< 500,,,< 50,,,,,,
Ulrich Brede,"Holzhausen, Kasseler Straße 12",34376,Immenhausen,POINT (51.4228466 9.538801),05673996645,< 100,,,,,,,,,
Agrargenossenschaft Gerstenberg eG,Mühlstraße 54a,04617,Gerstenberg,POINT (51.0287629 12.4367348),03447830441,,,,,,,,,,
LWB Dr. HF Schönleber,An der Schnauder 22,04741,Roßwein,POINT (51.0720683 13.122423084740547),03432244351,,,,,,,,,,
Andresen,Weesrieser Straße 8,24999,Wees,POINT (54.8056592 9.5137547),046312821, < 50,,< 50,,,,,,,
Sonnenhof GbR,Hillershäuserstraße 31,35104,Lichtenfels,POINT (51.20779435 8.796880649836968),05636282,,,,,,,,,,
Thomas Scheel,Kronberg 8,24619,Bornhöved,POINT (54.067777 10.2319071),043236198,,,,,,,,,,
Grafelmann,Im Dorfe 4,29597,Bankewitz,POINT (53.0338353 10.8049625),05872353,,,,,,,,,,
Karl Schwalenstöcker,Schulweg 4,34477,Tweistetal,,05695991849,,,,,,,,,,
Ulrich Zick,Steinweg 4,35112,Fronhausen,POINT (50.705061650000005 8.69389896928984),064269670260,,,,,,,,,,
Hof Griese,Dorfstraße 18,24638,Schmalensee,POINT (54.0818145 10.270583),04323-6253, < 50,,< 50,,,,,,,
Gutsverwaltung Bossee,Gut Bossee 3,24259,Westensee,POINT (54.286410450000005 9.896621324742178),04305991993,,,,,,,,,,
Agrargenossenschaft Hohenroda eG,Luckowehnaer Straße 7,04509,Schönwölkau,POINT (51.5007716 12.4295479),03429570920,< 2000,,< 50,,,"<span class=""textformatter-list"">Biogas</span>",,,,
RAISA eG,Wiesenstraße 8,21680,Stade,POINT (53.5979602 9.469512522210724),04141-400615,< 500,,,,,,,,,
Dr. Andreas Schröder,Kadener Allee 3,25486,Alveslohe,POINT (53.7770861 9.926975966973684),0171-4873500,< 500,,< 50,< 50,,,,,,
Bauernhof Rüdiger,Hauptstraße 50,01909,Seeligstadt,POINT (51.10115075 14.039370901949809),035200-24265,< 500,,< 50,,,,,,,
"Landgenossenschaft ""Goldene Ähre""",Exdorferstraße 100,98660,Beinerstadt,POINT (50.4724139 10.5936484),03687320069,,,,,,,,,,
Agrargenossenschaft Queienfeld eG,Wolfmannshäuser Straße 13,98631,Grabfeld ,POINT (50.4465473 10.4589586),03694454248,< 2000,,< 500,,,,,,,
Landwirtschaftsbetrieb Sandra Dehne,Hauptstraße 29,14806,Planetal ,POINT (52.125170049999994 12.704110049999999),, < 50,,,,,,,,,
Hof Hoheneichen / Familie Rachau,Hoheneichen 7,24211,Rastorf,POINT (54.28832 10.3164755),04303384,< 100,,< 50,,,,,,,
Landwirtschaftsbetrieb Flarichsmühle ,Flarichsmühle 1,99735,Kleinwechsungen,,03633540797,,,,,,,,,,
Volker Koch,Dorfstraße 9,31622,Heemsen,POINT (52.7013631 9.2634369),,< 500,,< 50,,,,,,,
Lange-Schwartz,Dorfallee 5,23623,Cashagen,POINT (53.9483637 10.5646822),045051065,< 500,,,,,,,,,
Otto GbR,Immenhof,34454,Wetterburg,POINT (51.387386250000006 9.048664418711049),056911669,,,,,,,,,,
Burkhart Hüttmann und Katja Steffel,Lindenstraße 26,21493,Havekost,POINT (53.5412798 10.4760649),,,,,,,,,,,
Jan Henrik Schmaljohann,Dorfstraße 20,23881,Bälau,POINT (53.6145699 10.6223084),045422580,< 500,,,< 50,,,,,,
Storkower Agrar AG,Schulstraße 5,17329,Krackow,POINT (53.3429148 14.261312712574755),03974620227,,,,,,,,,,
Agrarproduktionsgenossenschaft Wasserleben eG,Straße der MTS 21,38871,Nordharz,POINT (51.9207672 10.7523717),039451-281,,,,,,,,,,
Wicke - Gut Jestädt,Gut Jestädt,37276,Meinhard-Jestädt,POINT (51.21312625 10.014571524746188),0565121934,,,,,,,,,,
Möhlmann,Lütjenburger Straße 27,23774,Heiligenhafen,,043627173,< 500,,< 50,,,,,,,
Fortwengel Landwirtschaft GmbH u. Co. KG,Dossower Bahnhofstraße 5a,16909,Wittstock ,POINT (53.1201369 12.520069939873007),059522004611,< 100,,,,,,,,,
Ballmann,Bahnhofstraße 3,31618,Liebenau,POINT (52.6040526 9.097401),0502394008,< 100,,< 50,,,,,,,
Christian Storm,Langereihe Süd 4,24637,Schillsdorf,POINT (54.1051387 10.1637806),04394992440,,,,,,,,,,
Wolfgang Stapelfeldt,Hoddebüllweg 1,25924,Emmelsbüll-Horsbüll,POINT (54.8243994 8.7014179),04665701,,,,,,,,,,
Thüringer Pforte - Agrar Betrieb GmbH Neuenhof,Auf dem Ufer 2,99817,Eisenach ,POINT (50.999867550000005 10.215385816033816),03692890208,< 2000,,< 50,< 50,,,,,,
Himbeersahl,Himbeersahl 1,24326,Dersau,POINT (54.1185379 10.2980326),045268343,< 100,,< 50,,,,,,,
Radefelder Pflanzenproduktion GmbH &amp; Co. KG,Am unteren Anger 1,04435,Schkeuditz,POINT (51.42428775 12.298762964111841),,< 2000,,,,,,,,,
Söhrmann,Dorfplatz 5,24582,Groß Buchwald,POINT (54.1624509 10.084361),4322692271,< 500,,< 50,< 50,,,,,,
Thallwitzer Agrargesellschaft mbH,Siedewitzer Straße 26,04808,Thallwitz,,03425923313,,,,,,,,,,
Feuerborn-OH-GbR,Cosaerstraße 20,06369,Prosigk ,,03497822732,,,,,,,,,,
Agrargenossenschaft Löberitz e.G.,Am Sportplatz 15,06780,Zörbig,POINT (51.6956014 12.185778),0349431726,< 2000,,< 500,,,,,,,
AGJ Agrargesellschaft Jüchsen,Wassergasse 33,98631,Grabfeld ,POINT (50.4798226 10.5020728),03694751218,< 2000,,< 500,,,,,,,
Rainer Meier,Raddestorf 3,31604,Raddestorf,POINT (52.4539988 8.9553847),05765942631,< 100,,,,,,,,,
Hof Holling,Alsen 1,25590,Osterstedt,POINT (54.09571075 9.577266149940122),04874-9285,< 100,,< 100,,,,,,,
Sabine und Volker Haaren GbR,Lohe 3,27616,Heerstedt,POINT (53.4654817 8.7615663),04747308,< 100,,< 100,< 50,,,,,,
"Kutzleben GbR, Landwirtschaft und Hopfenbau",Rohnstedter Berg 2,99955,Kutzleben,POINT (51.1976618 10.8658799),03604141912,< 2000,< 50,< 50,< 50,,,,,,
Agrargenossenschaft Holldorf e.G.,Lange Straße 22,17094,Holldorf,POINT (53.463585 13.2724063),03960320828,,,,,,,,,,
Landgemeinschaft Groß Nemerow e.G.,Lange Straße 22,17094,Holldorf,POINT (53.463585 13.2724063),03960320828,,,,,,,,,,
Landwirt Klaus Becker,Am Rebstock 23,34281,Gudensberg,POINT (51.1730423 9.355414873136342),05603923720,,,,,,,,,,
Wickershof,Zu den Wickershöfen 2,34632,Jesberg ,POINT (51.0187734 9.168166),066951319,,,,,,,,,,
Landwirtschaftsbetrieb Sackmann,Oetzendorf Nr. 10,29599,Weste,POINT (53.0433924 10.6502359),05805303,< 500,,,< 50,,,,,,
Ermslebener Landwirtschaftsgenossenschaft eG,Falkensteiner Weg 23,06463,Falkenstein/Harz ,POINT (51.6874886 11.2733745),034743281,,,,,,,,,,
Landwirtschaftsbetrieb Müller,Niendorfer Hauptstraße 17,29553,Bienenbüttel,POINT (53.1620619 10.5021662),,< 500,,,< 500,,,,,,
GGAB Agrarbetrieb Groß Grenz GmbH,Dorfstraße 1,18258,Benitz,POINT (53.97480245 12.101478606203703),03844813792,< 2000,,< 50,,,,,,,
Landwirtschaftsbetrieb Mente,Diesten 7,29303,Bergen,POINT (52.78327265 10.038702269050159),05054949319,,,,,,,,,,
Ralf Bartens,St.-Martini-Straße 40,37079,Groß Ellershausen,POINT (51.5210386 9.8665938),055194273,,,,,,,,,,
Hof Langsteinbrook,Langsteinbrook 1,24329,Rantzau,POINT (54.21081925 10.507980507825355),042831371,,,,,,,,,,
Hof Huushörn,Rantzauer Forstweg 49,22846,Norderstedt,POINT (53.7020622 9.9762413),0405218351,,,,,,,,,,
Landwirtschaftsbetrieb Landmann GbR,Marktsteig 1,04600,Altenburg,POINT (51.0182854 12.4319196),0344782257,,,,,,,,,,
Kai Wiegreffe,Diahren 4,29496,Waddeweitz,POINT (52.97781325 11.003596209352898),058499719430,< 500,,,,,,,,,
Nordsaat Salzau Ldw. Betriebsgesellschaft mbH,Salzau,24256,Fargau-Pratjau,POINT (54.323096 10.3749159),04303667,< 2000,,< 50,,,,,,,
Wittenberg GbR,Gut Wittenberg 1,24238,Martensrade,POINT (54.2616618 10.3858227),04384706,< 2000,,< 50,,,,,,,
Eckebrecht Schweinemast KG,Uepser Straße 12,27330,Asendorf,POINT (52.7536273 8.9917825),042531700,< 500,,,,,,,,,
Agrarbetrieb Dessau Mildensee eG,Poetnitz 6,06842,Dessau-Roßlau,,034021940,,,,,,,,,,
Agrargenossenschaft e.G. Belleben,Siedlungsstraße 56,06420,Könnern,POINT (51.6767616 11.634392),034692-21332,< 2000,,< 50,,,,,,,
Gut Warleberg,Gut Warleberg,24214,Neuwittenbek,POINT (54.3604822 9.995764217085881),043467077,,,,,,,,,,
Agrar GmbH Sanne-Kerkuhn,Sanner Dorfstraße 57,39619,Arendsee,POINT (52.823622150000006 11.43911097431874),039034566,,,,,,,,,,
Hof Woydak,Lindenallee 6,23919,Rondeshagen,POINT (53.7524193 10.6267464),,,,,,,,,,,
Holthusen,Baljerdorf 35,21730,Balje,POINT (53.8222343 9.1334449),04753356,< 500,,,,,,,,,
Hof Miljes,Hollenbek 18,23919,Behlendorf,POINT (53.71448385 10.646144098601203),04544517,< 500,,< 50,< 50,,,,,,
Pflanzenbau-Genossenschaft e.G. Bernburg-Nord,Hauptstraße 32,06429,Nienburg,POINT (52.4203356 8.744959772572102),03472130180,,,,,,,,,,
Agrar GmbH Lübbersruh ,Woldegker Chaussee 6a,17098,Friedland,POINT (53.65135035 13.549450371627605),03960120293,< 2000,,,,,,,,,
Eggertshof,Eggertshofen 1,85354,Freising,POINT (48.3627189 11.7177488),0816113447,,,,,,,,,,
Zuchtbetrieb Fischer,Hauptstraße 14,22946,Brunsbek,POINT (53.5946398 10.2739579),041077158,< 100,,< 100,,,,,,,
LWB Richter,Köthensdorfer Hauptstraße 18,09249,Taura,POINT (50.908336649999995 12.864483250000001),03724857375,< 500,,< 50,< 50,,,,,,
Schlei-AGRAR GbR,Waabshof 1,24369,Waabs,POINT (54.5495034 10.003847981824695),04352-911950,< 500,,< 50,< 50,,,,,,
Agrarunternehmen Steigra eG,Wirtschaftsstraße 1,06268,Steigra,POINT (51.3021594 11.6600603),03446155291,,,,,,,,,,
Gut Goldensee Rautenberg GbR,Goldensee 1,23911,Kittlitz,POINT (53.6874507 10.921931748424594),04546414,< 500,,< 50,< 50,,,,,,
Carsten Kramer,Auf der Horst 19,31547,Rehburg-Loccum,POINT (52.439405 9.2303697),050371073,,,,,,,,,,
LOH-Landwirt. Organisation-Handelsgesellschaft mbH,Untertorstraße 18,98630,Römhild ,POINT (50.3771149 10.5357499),03694820410,,,,,,,,,,
Voß-Hagen,Am Dorfteich 8,23769,Kopendorf,POINT (54.47651335 11.052540592579067),04372387,,,,,,,,,,
Betrieb Hardt,Segeberger Straße 10,23795,Schieren,POINT (53.9425198 10.3699973),045516906,,,,,,,,,,
Landwirtschaftsbetrieb Finckenstein,Alter Postweg 1,18334,Semlow,POINT (54.17972535 12.64485985713302),,,,,,,,,,,
Hans Walter Schierhorn,Oldesloer Straße 2c,23843,Travenbrück,POINT (53.837257699999995 10.302361659384026),04531893798,,,,,,,,,,
Nikolas Schierhorn,An der Kegelbahn 7,19071,Groß Brütz,POINT (53.6499035 11.2498659),04531893798,< 2000,,,< 100,,"<span class=""textformatter-list"">Photovoltaik</span>",,,,
Gutsverwaltung Gülzow,Gut Gülzow,21483,Gülzow,POINT (53.4446242 10.4924754),04151895201,,,,,,,,,,
Cathrin Pritschau,Teichstraße 17,23815,Westerrade,POINT (53.93677005 10.45925932538899),04553-309,,,,,,,,,,
Stephan Hoenck KG,Gurvitz 2,18573,Rambin,POINT (54.36963725 13.154754099999998),03830660331,,,,,,,,,,
Sarow,Dorfstraße 75,17111,Sarow,POINT (53.79747595 13.106787003077226),0399967500,,,,,,,,,,
Eylert Ahrens,Hinter den Höfen 39,28844,Kirchweyhe,POINT (52.99422305 8.862929357029305),0420379441,,,,,,,,,,
BG Thieße GbR,Krummende 10,31637,Rodewald,POINT (52.636617 9.4917613),050741519,,,,,,,,,,
Andreas Tolkmitt,Twiete 1,23795,Schackendorf,POINT (53.9555127 10.2730044),04551-91124,,,,,,,,,,
Agrarbewirtschaftung Behrenwalde GmbH,Südstraße 1 a,18461,Behrenwalde,POINT (54.1924221 12.783948),01752297154,< 2000,,< 500,,,"<span class=""textformatter-list"">Biogas</span>",,,,
Hofverwaltung Tützpatz,Demminer Straße 8,17091,Tützpatz,POINT (53.7237165 13.1393842),03960021031,,,,,,,,,,
Landwirtschaftsbetrieb Volker Knops,Dorfstraße 2 a,18513,Fäsekow,,038334-669910,,,,,,,,,,
Gut Schirnau,Gut Schirnau 5,24794,Bünsdorf,POINT (54.34753755 9.750496947150452),0433139097,,,,,,,,,,
Betriebsgemeinschaft Pöhls/Steinfelder Wohld,Zarpener Weg 28,23619,Rehhorst,POINT (53.8824178 10.4900959),0455315206,,,,,,,,,,
Hans-Heinrich Schmidt,Westermarkelsdorf Nr. 23,23769,Fehmarn,POINT (54.5234419 11.0569603),04372-405,< 500,,,,,"<span class=""textformatter-list"">Photovoltaik, Sonstige</span>",,,,
LWB Christian Nagel,Lindenallee 9,19412,Kuhlen-Wendorf ,POINT (53.7251183 11.587843),0384863-3745,,,,,,,,,,
Hof Sehlendorf,Hof Sehlendorf 1,24327,Blekendorf,POINT (54.2921559 10.701055837859496),04382920448,,,,,,,,,,
Möhlenhof,Möhlenhof 1,27211,Bassum,POINT (52.90182745 8.67944578020756),04249729,,,,,,,,,,
Jürgen und Heiner Tams,Lurkrog 1,24367,Osterby,POINT (54.4509013 9.7597109),0151-52434475,,,,,,,,,,
Agrar GmbH &amp; Co KG Wittow Süd,Lanckensburg 9,18556,Altenkirchen,POINT (54.637040999999996 13.318277858643832),038391347,,,,,,,,,,
Frank Engelking GbR,Glisser Mitte 1,31604,Raddestorf,POINT (52.4286036 8.9622786),05765301,,,,,,,,,,
Landwirtschaftsbetrieb Susanne Holter,Querfurter Straße 28,06268,Obhausen ,POINT (51.424249200000006 11.670110444415752),03477427219,< 500,,,,,,,,,
Milchhof Bohlens,Dorfstraße 59a,22113,Oststeinbek,POINT (53.5242284 10.1668734),0407388434,,,,,,,,,,
"Agrargesellschaft mbH ""Mittleres Nessetal""",Gothaer Straße 231,99869,Sonneborn,POINT (50.9908832 10.5913415),03625471203,,,,,,,,,,
Neuhaus GbR,Güterverwaltung,24321,Panker,,043817071,,,,,,,,,,
Salzau-Lutterbek GbR,Güterverwaltung,24321,Panker,,043817071,,,,,,,,,,
Agrargenossenschaft Bornum e.G. ,Zerbster Straße 9,39264,Trüben,POINT (51.9842007 12.1937819),0392489400,,,,,,,,,,
Detlef Hüsemann,Neustädter Straße 1,31603,Diepenau,POINT (52.46004695 8.770988847169118),0170-3860423,< 100,,< 100,,,,,,,
Speckmann &amp; Sohn GbR,Harpstedter Straße 171,28816,Stuhr,POINT (52.9974246 8.7055694),,< 100,,< 50,,,,,,,
Agrisund GmbH &amp; Co KG,Groß Miltzow 2,18519,Sundhagen,POINT (54.228775150000004 13.194542900610973),,,,,,,,,,,
Hof Bornholdt,Bockhornweg 30,25494,Borstel-Hohenraden,POINT (53.6941869 9.8069884),04101-857565, < 50,,< 50,,,,,,,
Helmut Lompe,Huteweg 8,34599,Neuental-Dorheim,POINT (50.9778975 9.2335163),,,,,,,,,,,
Claus &amp; Gudrun Beinhauer GbR,Landgrafenstrasse 3,34326,Altmorschen,POINT (51.0660366 9.6188027),05664-91092,< 100,,< 50,,,,,,,
Taucherwald Agrar GmbH,Ringstraße 24,01906,"Burkau, ",POINT (51.2082366 14.2532674008207),035953/8424,< 2000,< 50,< 100,,,,,,,
Hof Bollerhey,Fahrtweg 7,34270,Schauenburg,POINT (51.2864819 9.290498883319113),0173-5202276,< 500,,< 50,,,,,,,
Agrarwirtschaft Groeben GmbH,Eickstedt 26,17291,Randowtal,POINT (53.2969623 14.0414286),039857-36906,< 2000,,,,,,,,,
Agraranbau Reuter,Eislebener Chaussee 3,06456,Arnstein ,POINT (51.6938947 11.4521152),03473-808542,,,,,,,,,,
Richter-Schluckebier,Am Eidinghäuser Berge 1a,34497,Korbach,POINT (51.2800931 8.8906534),05631-921791,< 100,,,,,,,,,
Saatbaubetrieb &amp; Kornbrennerei,Hof Lauterbach 1,34516,Vöhl Obernburg,POINT (51.23795505 8.916941997692241),05635-9237,< 500,,,< 50,,,,,,
Hingelhof,Im Hingel 17,34477,Twistetal-Twiste,POINT (51.3322608 8.9603995),,< 500,,,,,,,,,
Helmut Pfeifer,Zum Edelhof 3,35315,Gontershausen,POINT (50.7365574 8.967003),, < 50,,< 50,,,,,,,
Gerhard Battefeld,Frankenberger Straße 6,35099,Burgwald-Bottendorf,POINT (51.02864785 8.813043527232143),06451-210654, < 50,,< 50,,,,,,,
Schulenberg GbR,Wulfhooper Straße 49,28816,Stuhr,POINT (52.9786549 8.7675924),,< 100,,,,,,,,,
Brunnenhof Eier,Ziegelbruchweg 4 a,34466,Wolfhagen-Niederelsungen,POINT (51.3872403 9.1821724),05606-2734,< 500,,< 50,,,,,,,
Martin Döhrer,Eichwiesenweg 20,34621,Frielendorf,POINT (50.9766512 9.3236402),05684-922769,,,,,,,,,,
Gut Petersdorf,Petersdorfer Allee 1,23738,Lensahn,POINT (54.236711099999994 10.8695799530642),04363-905191,< 500,,,< 100,,,,,,
Christian Stock,Vorderbinge 4,34587,Felsberg,POINT (51.17140715 9.433919100832721),,,,,,,,,,,
Carsten Rube,Am Ellerbruch 1,34497,Korbach,POINT (51.2639217 8.8662276),0175-2414131,< 100,,,,,,,,,
Heinrich Graf,Bahnhofstraße 19,34477,Twistetal,POINT (51.3217854 8.9051324),05695-1506, < 50,,,,,,,,,
Hillebrand,Buchenweg 1,34295,Edermünde,POINT (51.21789605 9.43780615),05665-8429, < 50,,,,,,,,,
Landwirtschaftsbetrieb Aurel Hagen,Voigdehäger Weg 8,18442,Wendorf,POINT (54.252121 13.0750706),03831-270131,< 2000,,< 50,< 50,,,,,,
Bangert Agrar,Zollhaus 10,34519,Diemelsee-Wirmighausen,POINT (51.3560751 8.8517296),0170-6028104,,,,,,,,,,
Saathoff,Rosenstraße 7,23623,Ahrensbök,POINT (54.0541552 10.599651497210786),,< 500,,< 50,< 50,,,,,,
Schweineproduktion Schröder Eckert GmbH &amp; Co.KG,Lehngerichtsweg 9,09575,Eppendorf,POINT (50.7839793 13.2712278),037293-492,< 500,,< 50,,,,,,,
LWB Steffen Hass,Dorfstraße 82,18569,Trent,POINT (54.5211844 13.251137589775386),038309-1396,,,,,,,,,,
Jens Wiesemann,Burgstraße 4,34516,Vöhl-Obernburg,POINT (51.2323551 8.9032629),05631-921861,< 100,,< 50,,,,,,,
Landgut GmbH Staritz,Liebersee 54 d,04874,Belgern-Schildau,POINT (51.4517662 13.165833),034224-40412,< 2000,,< 50,,,,,,,
Landwirtschaftsbetrieb Hof Rosebrock,Dorfstraße 20,23883,Klein Zecher,POINT (53.577430449999994 10.87223123752962),04545-2899956,,,,,,,,,,
Peter Sievers,Borsteler-Heide 1,25563,Quarnstedt,,04822-9170,,,,,,,,,,
Wagner,Hinterstraße 4,34289,Oberelsungen,POINT (51.3714144 9.2310903),,< 500,,,,,,,,,
Landboden Osterwieck Agrodienste GmbH &amp; Co. Landwirtschafts KG,Osterwiecker Straße 178,38835,Berßel,POINT (51.9580448 10.7539767),039421-74058,< 2000,,< 50,< 50,,,,,,
Hans-Hartwig-Ketels,Warmhörner Deich 5,25882,Tetenbüll,POINT (54.377754 8.8420338),04865-901336,,,,,,,,,,
Landwirtschaftsbetrieb Heinrich Heitmüller,Unter den Eschen 1,18528,Rappin,POINT (54.4994246 13.4033879),,,,,,,,,,,
Agrar e.G. Könnern,Köthener Straße 8 A,06420,Könnern,POINT (51.6737542 11.7744441),034691-20217,< 2000,,,,,,,,,
EMB GmbH,Köthener Straße 8 a,06420,Könnern,POINT (51.6737542 11.7744441),034691-51286,< 500,,,,,,,,,
Bleis GbR Barbara und Bernd,Bleis GbR,39524,Schönhausen,,0170-9586177,< 500,,< 100,< 50,,,,,,
Agrargenossenschaft eG Rackith,Rackither Gewerbepark 2,06901,Kemberg,POINT (51.799443 12.6985458),034927-75953,< 2000,,< 500,< 50,,,< 5,,,
LWB Lorenz Rindler,Oberhinrichshagen 3,18519,Sundhagen,POINT (54.22548615 13.224466549999999),,,,,,,,,,,
Steffen Northe,Hauptstraße 40,39524,Wust-Fischbeck,POINT (52.5397086 12.01596701859468),0171-7646312, < 50,,< 50,< 50,,,,,,
Kloster Domäne Jerichow GmbH &amp; Co.KG,Domäne 1,39319,Jerichow,,0171-7646312,< 500,,< 50,< 50,,,,,,
Gerdeswalder Agrarbetrieb,Gerdeswalde 26,18519,Sundhagen,POINT (54.12620445 13.242460077173618),038333-88505,< 500,,< 50,,,,,,,
Bauer Hartmann (seit 2018 Bio) ,Ernst-Thälmann-Straße 56B,18347,Ostseebad Wustrow,POINT (54.346746 12.3979702),038220-80532,< 500,,< 50,,,,,,,
Gut Maasleben,Gut Maasleben,24364,Holzdorf,POINT (54.5770738 9.950250338001103),04352-2371,< 500,,< 50,< 500,,,,,,
Travenhof,Familie Wichmann,23858,Reinfeld,,04533-3245,< 100,,< 50,,,,,,,
Volker Reiße,An der Schwalm 9,34599,Neuental,POINT (51.0118355 9.2066863),,,,,,,,,,,
Rittergut Nordenbeck,Goldhäuserstraße 9,34497,Korbach,POINT (51.2406796 8.839605822689546),05631-2509,,,,,,,,,,
Torsten Werner,Feldstraße 4,39606,Königsmark-Wasmerslage,,039390-81498,< 500,,< 100,,,,,,,
Hof Brügmann,Beidendorfer Hauptstraße 10,23560,Lübeck,POINT (53.78755235 10.67675255),04508-1465,,,,,,,,,,
Wagrar OHG,Wagrar OHG,23749,Rosenfelde,,04365-1229,,,,,,,,,,
Landw.-Betrieb Kübler,Straße der Befreiung 1,06179,Teutschenthal ,POINT (51.4228698 11.7661026),034636-69217,,,,,,,,,,
Ballenstedt Agrar KG,Gut Asmusstedt,06493,Ballenstedt,POINT (51.74289075 11.240101137773685),039483-979081,< 500,,,,,,,,,
"Agrar-Gesellschaft ""Börde"" mbH",Vor dem Tore 13,39343,Hohe Börde ,POINT (52.2135443 11.3921199),039206-50267,,,,,,,,,,
Bauer Willi,Kreis Neuss,41460,Neuss,POINT (51.1981778 6.6916476),, < 50,,,,,,,,,
Gut und Forstverwaltung Laar,Gut Laar,34289,Zierenberg,,05606-3909,,,,,,,,,,
Bioenergie Barth GbR Martin und Helene Barth - Biogas,Alte Römerstr. 125,85435,Erding,POINT (48.325056849999996 11.923766975209888),08122-15192, < 50,,,,,,,,,
Lars Peter KG,Kirchweg 12,34314,Espenau,POINT (51.38320295 9.458929061666108),0175-2216087,< 500,,,,,,,,,
Julius Kapsner,Willing 1,83361,Kienberg,POINT (48.037261 12.4409565),0170-3133243, < 50,,< 50,< 50,,,,,,
Weller GbR,Zeis 2,73453,Hohenstadt,POINT (48.8949619 9.941540408879602),0151-23300126,< 100,,< 100,< 50,,"<span class=""textformatter-list"">Biogas, Photovoltaik</span>",,,,
Hintermaier biogas,Harham 3,85447,Fraunberg,POINT (48.3659973 11.9661217),08762-720633,< 100,,< 50,,,,,,,
Mandl Bioenergie GbR - Biogas,Oberndorf 2,84494,Neumarkt Sankt Veit,POINT (48.4203706 12.5063861),, < 50,,< 50,< 50,,,,,,
Bioenergie Schmid GbR - Biogas,Bergstraße 10,86857,Hurlach,POINT (48.1188989 10.8110354),08248-968125,< 500,,< 50,,,,,,,
Brenner GbR,Heuchlingen 7,74575,Schrozberg,POINT (49.3404703 9.9075168),07936-335,,,,,,,,,,
Bernhard Randler,Ortsstraße 19,89561,Dischingen-Hofen,POINT (48.733548799999994 10.427327021738018),07327-922068, < 50,,,,,,,,,
Guter GbR,Kellmünzer Straße 25,88453,Erolzheim,POINT (48.0913099 10.075510600872782),07354-8217,,,,,,,,,,
Martin Kühnle,Wüchern 11,74632,Neuenstein,POINT (49.22216575 9.616672999999999),07942-748,,,,,,,,,,
Obsthof Söllner-Wieland,Pfahlbacher Straße 14,74639,Zweiflingen,POINT (49.2558007 9.516197212924855),07948-679,,,,,,,,,,
Ferkelhof Jockers,Siedlung Bruch 4,77731,Willstätt,POINT (48.5447896 7.8706959),07852-97943,< 100,,,,,,,,,
Dietmar Harting Landwirtschaft GmbH &amp; Co. KG,Lohhof 10,31600,Uchte,POINT (52.4857791 8.87270165),05763-942500,,,,,,,,,,
Agrargenossenschaft Ranzig,Siedlung 2,15848,Tauche ,POINT (52.111464049999995 14.184775499999994),033675-6050,< 2000,,< 500,,,,,,,
Dr. Reinhard Funk,Rotweg 10,88453,Erolzheim,POINT (48.07890555 10.044859385194172),07354-933070,,,,,,,,,,
